2018-12-03 15:39:46.331130
START
-----------------------------------------------------------------Iter 1
-58 | H1 | 7A:F3 | cs_labs
-58 | H1 | 7A:F0 | cs_secure
-59 | L2 | 7C:01 | cs_guest
-60 | S2 | E1:60 | cs_secure
-60 | S1 | 85:A3 | cs_labs
-60 | P2 | 7B:B0 | cs_secure
-61 | H1 | 7A:E3 | cs_labs
-61 | S2 | E1:63 | cs_guest
-61 | P2 | 7B:B3 | cs_labs
-62 | P2 | 7B:B1 | cs_guest
-63 | S1 | 85:A1 | cs_guest
-63 | S2 | E1:62 | cs_labs
-63 | H1 | 7A:E1 | cs_guest
-64 | H1 | 7A:E0 | cs_secure
-65 | S1 | 85:A0 | cs_secure
-65 | P2 | 7B:A0 | cs_secure
-66 | P2 | 7B:A1 | cs_guest
-70 | P1 | 7A:C1 | cs_secure
-70 | H3 | FC:93 | cs_labs
-70 | H3 | FC:92 | cs_secure
-70 | H3 | FC:90 | cs_guest
-70 | H4 | 77:73 | cs_labs
-70 | H4 | 77:71 | cs_guest
-70 | H4 | 77:70 | cs_secure
-71 | P1 | 7A:D1 | cs_secure
-72 | H3 | FC:83 | cs_labs
-72 | P1 | 7A:D0 | cs_guest
-76 | H3 | FC:82 | cs_secure
-----------------------------------------------------------------Iter 7
-49 | L1 | 85:E2 | cs_labs
-49 | L1 | 85:E0 | cs_secure
-50 | L1 | 85:E3 | cs_guest
-50 | L1 | 85:F3 | cs_guest
-50 | L1 | 85:F0 | cs_secure
-51 | L2 | 7C:13 | cs_labs
-51 | L2 | 7C:11 | cs_guest
-51 | L2 | 7C:10 | cs_secure
-51 | L1 | 85:F2 | cs_labs
-52 | S1 | 85:B0 | cs_secure
-53 | S1 | 85:B3 | cs_labs
-53 | S1 | 85:B1 | cs_guest
-56 | S2 | E1:73 | cs_guest
-56 | S2 | E1:70 | cs_secure
-57 | L2 | 7C:01 | cs_guest
-57 | L2 | 7C:00 | cs_secure
-57 | S1 | 85:A0 | cs_secure
-57 | S1 | 85:A1 | cs_guest
-57 | S2 | E1:72 | cs_labs
-58 | L2 | 7C:03 | cs_labs
-58 | S1 | 85:A3 | cs_labs
-59 | P2 | 7B:B3 | cs_labs
-59 | P2 | 7B:B0 | cs_secure
-60 | H1 | 7A:E3 | cs_labs
-60 | P2 | 7B:B1 | cs_guest
-60 | H2 | 77:13 | cs_labs
-60 | H2 | 77:11 | cs_guest
-60 | H2 | 77:10 | cs_secure
-60 | H1 | 7A:F3 | cs_labs
-60 | H1 | 7A:F1 | cs_guest
-61 | S2 | E1:63 | cs_guest
-61 | S2 | E1:60 | cs_secure
-61 | H1 | 7A:F0 | cs_secure
-63 | H1 | 7A:E1 | cs_guest
-63 | S2 | E1:62 | cs_labs
-63 | P2 | 7B:A0 | cs_secure
-64 | H1 | 7A:E0 | cs_secure
-65 | P1 | 7A:D3 | cs_labs
-66 | P1 | 7A:D0 | cs_guest
-67 | P1 | 7A:D1 | cs_secure
-69 | H3 | FC:93 | cs_labs
-69 | H3 | FC:92 | cs_secure
-69 | H3 | FC:90 | cs_guest
-70 | H4 | 77:70 | cs_secure
-70 | H4 | 77:71 | cs_guest
-70 | H4 | 77:73 | cs_labs
-70 | P1 | 7A:C1 | cs_secure
-72 | H3 | FC:83 | cs_labs
-74 | P1 | 7A:C3 | cs_labs
-76 | H3 | FC:82 | cs_secure
-82 | H4 | 77:63 | cs_labs
-----------------------------------------------------------------Iter 8
-47 | L2 | 7C:10 | cs_secure
-48 | L2 | 7C:13 | cs_labs
-48 | L2 | 7C:11 | cs_guest
-50 | L1 | 85:F2 | cs_labs
-51 | L1 | 85:F3 | cs_guest
-51 | L1 | 85:F0 | cs_secure
-52 | L1 | 85:E2 | cs_labs
-53 | L1 | 85:E3 | cs_guest
-53 | L1 | 85:E0 | cs_secure
-54 | S1 | 85:B3 | cs_labs
-54 | S1 | 85:B0 | cs_secure
-54 | S1 | 85:B1 | cs_guest
-55 | L2 | 7C:00 | cs_secure
-56 | L2 | 7C:03 | cs_labs
-56 | S1 | 85:A3 | cs_labs
-56 | H1 | 7A:E3 | cs_labs
-57 | S1 | 85:A1 | cs_guest
-57 | S1 | 85:A0 | cs_secure
-57 | L2 | 7C:01 | cs_guest
-57 | H1 | 7A:E1 | cs_guest
-59 | P2 | 7B:B0 | cs_secure
-59 | P2 | 7B:B3 | cs_labs
-59 | S2 | E1:73 | cs_guest
-59 | S2 | E1:72 | cs_labs
-59 | S2 | E1:70 | cs_secure
-59 | P1 | 7A:D1 | cs_secure
-60 | P2 | 7B:B1 | cs_guest
-60 | P2 | 7B:A0 | cs_secure
-60 | P2 | 7B:A1 | cs_guest
-60 | P1 | 7A:D3 | cs_labs
-61 | S2 | E1:60 | cs_secure
-61 | P2 | 7B:A3 | cs_labs
-61 | P1 | 7A:D0 | cs_guest
-62 | H1 | 7A:F3 | cs_labs
-62 | H1 | 7A:F1 | cs_guest
-62 | H1 | 7A:F0 | cs_secure
-63 | H2 | 77:11 | cs_guest
-64 | S2 | E1:62 | cs_labs
-65 | H2 | 77:13 | cs_labs
-65 | H2 | 77:10 | cs_secure
-69 | H4 | 77:73 | cs_labs
-69 | H4 | 77:71 | cs_guest
-70 | H3 | FC:93 | cs_labs
-70 | H3 | FC:92 | cs_secure
-70 | H3 | FC:90 | cs_guest
-73 | H3 | FC:80 | cs_guest
-74 | P1 | 7A:C3 | cs_labs
-74 | H3 | FC:83 | cs_labs
-74 | H3 | FC:82 | cs_secure
-77 | S2 | E1:63 | cs_guest
-82 | H4 | 77:63 | cs_labs
-----------------------------------------------------------------Iter 9
-47 | L2 | 7C:00 | cs_secure
-47 | L2 | 7C:11 | cs_guest
-47 | L2 | 7C:10 | cs_secure
-48 | L2 | 7C:03 | cs_labs
-48 | L2 | 7C:13 | cs_labs
-49 | L2 | 7C:01 | cs_guest
-51 | P2 | 7B:B3 | cs_labs
-51 | P2 | 7B:B1 | cs_guest
-51 | P2 | 7B:B0 | cs_secure
-51 | L1 | 85:F3 | cs_guest
-51 | L1 | 85:F2 | cs_labs
-51 | L1 | 85:F0 | cs_secure
-53 | L1 | 85:E3 | cs_guest
-53 | S1 | 85:B1 | cs_guest
-54 | H1 | 7A:E3 | cs_labs
-54 | H1 | 7A:E0 | cs_secure
-54 | S1 | 85:B3 | cs_labs
-54 | S1 | 85:B0 | cs_secure
-54 | P1 | 7A:D3 | cs_labs
-54 | P1 | 7A:D0 | cs_guest
-55 | L1 | 85:E2 | cs_labs
-55 | L1 | 85:E0 | cs_secure
-55 | P1 | 7A:D1 | cs_secure
